Slum Name,Constituency,Ownership,Notification Number,Notification Date,,Age ,Location,State of Development,Status,Area,Huts,Population,Males,Females,SC,ST,Others
Gousland II stage,Gandhinagar,Govt./ Pvt,KSA/CR-12/93-94,28-05-1994,,,Core,,Declared,1.2,220,1100,650,450,600,250,250
Ambedkaranagar Part-II,Gandhinagar,Govt,KSA/CR/14/2008-09,24/12/2008,,,Core,,Declared,0.09,35,125,60,65,45,30,50
"Sweepers Colony, Near Railway Flat-I",Gandhinagar,Rail,KSA/Cr-20/2000-01,04-09-2001,,,Core,,Declared,342sqm,22,82,42,40,20,20,42
Vivekananda Colony,Gandhinagar,BCC,xxxx,,,,Core,,Declared,0,137,685,385,300,300,100,285
"Ananda Rao Circle,Behind PWD Office",Gandhinagar,Pvt.,KSA/CR-14/94-95,16-01-1996,,,Core,,Declared,0.08,40,260,142,118,100,36,124
"Jakkarayanakere,Behind Terasa Church",Gandhinagar,Govt.,KSA/cr-16/94-95,16-01-1996,,,Core,,Declared,0.20,101,400,200,200,150,150,100
"Arasu Huts, Binnymill (Shifted Kudlu)",Gandhinagar,BDA,KSA/cr-41/95-96,09-06-1997,,,Core,,Declared,0.33,90,418,205,213,418,0,0
V.S.T.Colony,Gandhinagar,BBMP,KSA/CR-12/2002-03,23-03-2011,,,Core,,Declared,0.23,24,370,,,,,370
Kenchappa Garden,Gandhinagar,Pvt./ Rail,KSA/CR-5/87-88,07-09-1996,,,Core,,Declared, 3-17,645,3206,1633,1573,431,52,2723
Hanumanthappa Colony,Gandhinagar,Pvt. ,xxx,,,,Core,,Declared,3.05,149,924,475,449,712,18,194
"Jaibeemanagar,Railwaylane (Maharajmill)",Gandhinagar,BCC,xxx,,,,Core,,Declared,1.00,91,549,269,280,549,0,0
Himalaya Talkies,Gandhinagar,Pvt. ,HUD/170/mcs/86,08-01-1987,,,Core,,Declared,0.07,81,426,202,224,426,0,0
Gous Land I Stage,Gandhinagar,Pvt. ,HMA/73/MCS/76,11-01-1977,,,Core,,Declared,1.18,275,1650,950,700,500,150,1000
Selvanagar,Gandhinagar,Pvt.,HUD/147/mcs/83,05-01-1987,,,Core,,Declared,0.08,50,225,125,100,100,50,75
V.V.Giri Colony,Gandhinagar,BCC,Identified,,,,Core,,Undeclared,1.19,118,736,394,342,714,3,19
Risaldar Road,Gandhinagar,BCC,Identified,,,,Core,,Undeclared,1.00,176,941,501,440,917,8,16
Neelagiri Papanna,Gandhinagar,BCC,Identified,,,,Core,,Undeclared,3.05,500,1860,975,885,1860,0,0
Swathanthranagar,Gandhinagar,BCC,Identified,,,,Core,,Undeclared,2.10,245,1786,867,919,1723,0,63
"Shastrinagar,Seshadripuram",Gandhinagar,BCC,Identified,,,,Core,,Undeclared,1.00,72,420,202,218,397,0,23
Basaveswarnagar,Gandhinagar,BCC,Identified,,,,Core,,Undeclared,1.00,139,680,352,328,568,9,103
Gopalpura,Gandhinagar,BCC,Identified,,,,Core,,Undeclared,2.00,250,1496,757,739,785,9,702
"Gouthamnagar,Srirampur",Gandhinagar,BCC,Identified,,,,Core,,Undeclared,3.10,262,1529,755,774,1421,14,94
,,,,,,,,,,,,,,,,,
Ganeshbeedi slum,Chikpet,Govt.,KSA/CR-8/09-10,20-8-2009,,,Core,,Declared,0.4.5,43,237,120,117,0,0,237
"Giripura,Mysore Road",Chikpet,Pvt. Land,KSA/CR-13/90-91,23-02-1999,,,Core,,Declared,0.37,341,1434,731,703,912,43,479
Flower Garden,Chikpet,RMC,KSA/CR-98/85-86,15-01-1986,,,Core,,Declared,0-34,297,1625,829,796,1386,232,7
"Peerboundri,Cottonpete",Chikpet,Pvt. Land,HUD/13/MCS/80,23-12-1981,,,Core,,Declared,0.07,44,272,139,133,0,0,272
